trip,walk_distance,travel_time,boardings
65201003,387.7633458634243,406,1
65202001,360.727142855299,450,1
65401001,743.422308263471,1720,2
65401002,500.13106766507286,1541,2
65501001,1114.5923082666977,867,0
65501002,718.5797218016482,641,1
65501003,1644.6829398439472,1281,0
65501005,982.4352932292982,908,1
65502005,1644.6829398439472,1281,0
65502007,982.4352932292982,908,1
65801001,396.65341352688375,815,1
65801002,437.7468270618343,832,1
65801003,1116.2645563854094,1728,1
65801004,977.5855413496231,1927,1
65802001,396.65341352688375,815,1
65802002,437.7468270618343,832,1
65802003,1116.2645563854094,1728,1
65802004,977.5855413496231,1927,1
66101001,1048.436533826083,2400,2
66101002,601.3781729284855,960,1
66101003,1366.1248646569475,1785,1
66102001,810.803293229298,1776,2
66102002,799.7676315772492,1158,1
66102003,2271.068721796808,2206,1
66102004,1226.2416165366226,2467,2
66103001,810.803293229298,1776,2
66103002,352.20548120163676,1364,2
66103003,1226.2416165366226,2467,2
66601001,272.05025563579824,1881,2
66601002,440.62957894150935,2187,2
67201001,402.0525714244228,322,0
67201002,402.0525714244228,322,0
67801001,438.00132330409775,352,0
67801002,285.315240596785,236,0
67801003,229.55491729107385,182,0
68102001,1253.516165406559,1787,1
68102002,1568.3898796943474,2242,1
69201001,387.0332105252119,574,1
69201002,651.1704210504238,606,1
69201003,1338.6631428520723,1040,0
69201004,352.3535413480096,649,1
69201005,401.1352556357983,316,0
69201006,354.77645864553693,479,1
69201007,1110.1958420976207,1333,1
69201008,176.6756390943357,149,0
69201009,1069.1721428520725,1086,1
69202001,421.1543834553107,881,1
69202002,error,409,TOO_CLOSE
69202003,607.5814661642368,944,1
69202004,334.7735488699363,1321,2
69202005,1537.814022549646,1623,1
69203001,597.852736837435,470,0
70101001,993.1060225512596,910,1
70101002,1408.1685187902965,1097,0
71201001,1571.8925488650962,1446,1
71201002,632.8723007463847,1249,2
71202001,579.4189172878471,747,1
71202002,1763.9684060081838,1653,1
71202003,579.4189172878471,747,1
71202004,1621.3818796927342,1802,1
71202005,1374.0237518716078,1233,1
71202006,1817.0352781854447,1900,1
71302001,331.12813533659903,1087,2
71302002,223.13070676586193,1334,2
71302003,1740.9566165366225,1345,0
71401001,1282.771120294359,1357,1
71401002,428.8874586455369,331,0
71401003,1422.8068345821478,1302,1
71402001,1282.771120294359,1357,1
71402002,428.8874586455369,331,0
71402003,1422.8068345821478,1302,1
71801001,1269.8534360829835,1506,1
71801002,1543.143624053709,1682,1
71801003,1245.5106390894953,1538,1
71801004,395.7391052601859,612,1
71801005,1078.6143834553106,1953,1
71802001,1269.8534360829835,1506,1
71802002,1543.143624053709,1682,1
71802003,1245.5106390894953,1538,1
71802004,395.7391052601859,612,1
71802005,1078.6143834553106,1953,1
71901001,766.6455789431227,601,0
71901002,1924.5092631528846,1488,0
71901003,1505.2023082650844,1612,1
71901004,548.1667518764482,429,0
72302001,297.3721729300988,235,0
72302002,297.37066917074884,235,0
72601001,591.1136390943357,1229,1
72601002,297.7733909740107,2151,2
72601003,error,406,NO_TRANSIT_TIMES
72601004,error,406,NO_TRANSIT_TIMES
72602001,1646.35655638057,1735,1
72602002,378.32591729107384,294,0
72602003,1158.3153007463845,1804,1
72602004,273.91179699026134,1489,2
72602005,341.71736841791085,1819,2
72602006,1733.4770676634596,1791,1
72602007,1666.7627293171215,1292,0
72602008,1666.764984956146,1293,0
72602009,591.1136390943357,1229,1
72602010,451.99333834149763,1182,1
72603001,412.6137518764483,678,1
72603002,383.11499999677324,652,1
72603003,412.6137518764483,678,1
